z,qc,fs,u2
7.4,0.33,0.0069,0.234
7.41,0.33,0.007,0.241
7.42,0.33,0.0071,0.241
7.43,0.32,0.0073,0.241
7.44,0.32,0.0073,0.238
7.45,0.31,0.0072,0.238
7.46,0.32,0.0072,0.248
7.47,0.32,0.0075,0.248
7.48,0.31,0.0075,0.248
7.49,0.31,0.0075,0.246
7.5,0.31,0.0075,0.246
7.51,0.31,0.0074,0.244
7.52,0.31,0.0073,0.241
7.53,0.31,0.0072,0.238
7.54,0.31,0.0071,0.238
7.55,0.31,0.0071,0.237
7.56,0.31,0.0072,0.236
7.57,0.31,0.0072,0.236
7.58,0.31,0.0072,0.24
7.59,0.31,0.0071,0.24
7.6,0.31,0.0071,0.241
7.61,0.31,0.0069,0.242
7.62,0.31,0.0069,0.242
7.63,0.31,0.0069,0.241
7.64,0.32,0.0067,0.241
7.65,0.32,0.0065,0.244
7.66,0.32,0.0065,0.242
7.67,0.32,0.0065,0.242
7.68,0.32,0.0062,0.244
7.69,0.32,0.0062,0.245
7.7,0.33,0.0062,0.244
7.71,0.33,0.0062,0.24
7.72,0.33,0.0062,0.24
7.73,0.33,0.0062,0.242
7.74,0.33,0.0062,0.237
7.75,0.33,0.0062,0.233
7.76,0.32,0.0062,0.233
7.77,0.32,0.0062,0.232
7.78,0.32,0.0061,0.23
7.79,0.32,0.0061,0.23
7.8,0.32,0.0063,0.236
7.81,0.33,0.0065,0.236
7.82,0.32,0.0064,0.236
7.83,0.33,0.0065,0.238
7.84,0.32,0.0065,0.238
7.85,0.33,0.0066,0.245
7.86,0.33,0.0067,0.245
7.87,0.33,0.0067,0.248
7.88,0.33,0.0067,0.248
7.89,0.33,0.0067,0.246
7.9,0.33,0.0067,0.246
7.91,0.33,0.0068,0.248
7.92,0.33,0.0069,0.245
7.93,0.33,0.007,0.242
7.94,0.33,0.0069,0.242
7.95,0.33,0.007,0.245
7.96,0.33,0.0072,0.244
7.97,0.33,0.0073,0.244
7.98,0.33,0.0073,0.244
7.99,0.33,0.0074,0.245
8,0.33,0.0073,0.248
8.01,0.33,0.0074,0.248
8.02,0.33,0.0074,0.248
8.03,0.33,0.0073,0.248
8.04,0.33,0.0072,0.246
8.05,0.33,0.0072,0.246
8.06,0.33,0.0072,0.246
8.07,0.32,0.0072,0.249
8.08,0.33,0.0073,0.249
8.09,0.33,0.0073,0.25
8.1,0.33,0.0073,0.25
8.11,0.33,0.0072,0.254
8.12,0.33,0.0073,0.256
8.13,0.33,0.0072,0.256
8.14,0.33,0.0072,0.256
8.15,0.33,0.0072,0.256
8.16,0.33,0.0073,0.256
8.17,0.34,0.0074,0.254
8.18,0.34,0.0074,0.254
8.19,0.33,0.0074,0.256
8.2,0.35,0.0073,0.256
8.22,0.34,0.0073,0.254
8.22,0.34,0.0073,0.254
8.23,0.34,0.0073,0.254
